aatr_id,aatr_class,mitre_atlas,mitre_attack_analogue,owasp_llm_or_agentic_risk,seraph_control,nist_alignment
AATR-002,tool_using,Strong: AML.T0053: AI Agent Tool Invocation; AML.T0089: Process Discovery; AML.T0108: AI Agent<br>Partial: AML.T0040: AI Model Inference API Access; AML.T0047: AI-Enabled Product or Service; AML.T0044: Full AI Model Access; AML.T0101: Data Destruction via AI Agent Tool Invocation; AML.T0102: Generate Malicious Commands,Execution,Excessive agency,Tool gateway validation,Protect
AATR-004,reasoning_chain,Strong: AML.T0065: LLM Prompt Crafting<br>Partial: AML.T0049: Exploit Public-Facing Application; AML.T0050: Command and Scripting Interpreter; AML.T0094: Delay Execution of LLM Instructions; AML.T0107: Exploitation for Defense Evasion,Discovery,Prompt injection and agent misalignment,AATL timing plus disinformation,Detect
AATR-003,multi_agent_swarm,Strong: AML.T0108: AI Agent<br>Partial: AML.T0103: Deploy AI Agent,Impact,Autonomous replication / excessive agency,Rate friction plus SOAR escalation,Detect / Respond
AATR-006,persistent_recon,Strong: AML.T0000: Search Open Technical Databases; AML.T0000.000: Search Open Technical Databases: Journals and Conference Proceedings; AML.T0000.001: Search Open Technical Databases: Pre-Print Repositories; AML.T0000.002: Search Open Technical Databases: Technical Blogs; AML.T0001: Search Open AI Vulnerability Analysis; AML.T0003: Search Victim-Owned Websites; AML.T0004: Search Application Repositories; AML.T0006: Active Scanning; AML.T0007: Discover AI Artifacts; AML.T0035: AI Artifact Collection; AML.T0089: Process Discovery; AML.T0095: Search Open Websites/Domains; AML.T0095.000: Search Open Websites/Domains: Code Repositories,Reconnaissance,Excessive agency,Timing analysis plus honey surfaces,Identify / Detect
AATR-012,human_guided_redteam,Strong: AML.T0042: Verify Attack<br>Partial: AML.T0016: Obtain Capabilities; AML.T0016.000: Obtain Capabilities: Adversarial AI Attack Implementations; AML.T0016.001: Obtain Capabilities: Software Tools; AML.T0017: Develop Capabilities; AML.T0017.000: Develop Capabilities: Adversarial AI Attacks; AML.T0005: Create Proxy AI Model; AML.T0005.000: Create Proxy AI Model: Train Proxy via Gathered AI Artifacts; AML.T0005.001: Create Proxy AI Model: Train Proxy via Replication; AML.T0005.002: Create Proxy AI Model: Use Pre-Trained Model; AML.T0015: Evade AI Model; AML.T0043: Craft Adversarial Data; AML.T0043.000: Craft Adversarial Data: White-Box Optimization; AML.T0043.001: Craft Adversarial Data: Black-Box Optimization; AML.T0043.002: Craft Adversarial Data: Black-Box Transfer; AML.T0043.003: Craft Adversarial Data: Manual Modification; AML.T0043.004: Craft Adversarial Data: Insert Backdoor Trigger; AML.T0016.002: Obtain Capabilities: Generative AI; AML.T0079: Stage Capabilities,Resource Development,Agentic misuse,SOAR escalation plus forensic logging,Govern / Respond
AATR-023,long_horizon_sleeper,Partial: AML.T0061: LLM Prompt Self-Replication,Persistence,Agentic persistence,Continuity memory plus timing analysis,Identify / Detect
AATR-005,jailbroken,Strong: AML.T0054: LLM Jailbreak<br>Partial: AML.T0015: Evade AI Model; AML.T0043: Craft Adversarial Data; AML.T0043.000: Craft Adversarial Data: White-Box Optimization; AML.T0043.001: Craft Adversarial Data: Black-Box Optimization; AML.T0043.002: Craft Adversarial Data: Black-Box Transfer; AML.T0043.003: Craft Adversarial Data: Manual Modification; AML.T0043.004: Craft Adversarial Data: Insert Backdoor Trigger,Defense Evasion,Prompt injection / jailbreak,Trap-sink plus policy routing,Protect / Detect
AATR-001,credential_harvest,Strong: AML.T0055: Unsecured Credentials; AML.T0082: RAG Credential Harvesting; AML.T0083: Credentials from AI Agent Configuration; AML.T0090: OS Credential Dumping; AML.T0098: AI Agent Tool Credential Harvesting,Credential Access,Sensitive information disclosure,Disinformation plus trap-sink,Protect / Detect
AATR-016,auth_boundary_tester,Strong: AML.T0021: Establish Accounts; AML.T0012: Valid Accounts; AML.T0091: Use Alternate Authentication Material; AML.T0091.000: Use Alternate Authentication Material: Application Access Token; AML.T0106: Exploitation for Credential Access<br>Partial: AML.T0040: AI Model Inference API Access; AML.T0047: AI-Enabled Product or Service; AML.T0044: Full AI Model Access,Privilege Escalation,Broken access control,Policy gate plus SOAR,Protect / Detect
AATR-027,credential_launderer,Strong: AML.T0091: Use Alternate Authentication Material; AML.T0091.000: Use Alternate Authentication Material: Application Access Token,Credential Access,Sensitive information disclosure,Honey credentials plus replay detection,Detect / Respond
AATR-034,rogue_trusted_agent,Strong: AML.T0021: Establish Accounts; AML.T0012: Valid Accounts; AML.T0073: Impersonation; AML.T0074: Masquerading; AML.T0075: Cloud Service Discovery; AML.T0096: AI Service API; AML.T0106: Exploitation for Credential Access; AML.T0112: Machine Compromise; AML.T0112.000: Machine Compromise: Local AI Agent; AML.T0112.001: Machine Compromise: AI Artifacts,Valid Accounts,Excessive agency / trust abuse,Behavioral routing plus SOAR,Govern / Respond
AATR-011,cloud_lateral,Strong: AML.T0075: Cloud Service Discovery; AML.T0096: AI Service API; AML.T0112: Machine Compromise; AML.T0112.000: Machine Compromise: Local AI Agent; AML.T0112.001: Machine Compromise: AI Artifacts<br>Partial: AML.T0008: Acquire Infrastructure; AML.T0008.000: Acquire Infrastructure: AI Development Workspaces; AML.T0008.001: Acquire Infrastructure: Consumer Hardware; AML.T0008.002: Acquire Infrastructure: Domains; AML.T0008.004: Acquire Infrastructure: Serverless; AML.T0008.005: Acquire Infrastructure: AI Service Proxies,Lateral Movement,Excessive agency,Policy routing plus trap-sink,Protect / Detect
AATR-014,prompt_injection_carrier,Strong: AML.T0051: LLM Prompt Injection; AML.T0051.000: LLM Prompt Injection: Direct; AML.T0051.001: LLM Prompt Injection: Indirect; AML.T0065: LLM Prompt Crafting; AML.T0093: Prompt Infiltration via Public-Facing Application; AML.T0051.002: LLM Prompt Injection: Triggered<br>Partial: AML.T0061: LLM Prompt Self-Replication,Initial Access,Prompt injection,Disinformation plus trap-sink,Protect / Detect
AATR-015,rag_poison_retriever,Strong: AML.T0064: Gather RAG-Indexed Targets; AML.T0066: Retrieval Content Crafting; AML.T0070: RAG Poisoning; AML.T0071: False RAG Entry Injection; AML.T0085.000: Data from AI Services: RAG Databases<br>Partial: AML.T0019: Publish Poisoned Datasets; AML.T0020: Poison Training Data; AML.T0058: Publish Poisoned Models; AML.T0059: Erode Dataset Integrity,Collection,Training data poisoning,Memory trust scoring,Identify / Protect
AATR-009,memory_poisoner,Strong: AML.T0080: AI Agent Context Poisoning; AML.T0080.000: AI Agent Context Poisoning: Memory; AML.T0080.001: AI Agent Context Poisoning: Thread; AML.T0092: Manipulate User LLM Chat History<br>Partial: AML.T0019: Publish Poisoned Datasets; AML.T0020: Poison Training Data; AML.T0018: Manipulate AI Model; AML.T0018.000: Manipulate AI Model: Poison AI Model; AML.T0018.001: Manipulate AI Model: Modify AI Model Architecture; AML.T0031: Erode AI Model Integrity; AML.T0058: Publish Poisoned Models; AML.T0059: Erode Dataset Integrity; AML.T0018.002: Manipulate AI Model: Embed Malware; AML.T0076: Corrupt AI Model,Persistence,Training data / memory poisoning,Memory trust scoring,Protect
